^SAMPLE = GSM11
!Sample_title = NHGRI_A-357
!Sample_geo_accession = GSM11
!Sample_status = Public on Jan 24 2001
!Sample_submission_date = Jan 09 2001
!Sample_last_update_date = May 27 2005
!Sample_type = RNA
!Sample_channel_count = 2
!Sample_source_name_ch1 = melanoma, skin
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = total RNA
!Sample_source_name_ch2 = NHGRI_Melanoma_Ref
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = total RNA
!Sample_description = Biopsy location: skin
!Sample_description = Patient sex: 54
!Sample_description = Patient age: female
!Sample_description = Passage number: ND
!Sample_description = p16 mutation status: mutation
!Sample_description = Invasive ability: 2.8 +/- 0.2%
!Sample_description = Vasculogenic mimicry: -
!Sample_description = Gel contraction: ND
!Sample_description = Cell motility: 67.80 +/- 4.40
!Sample_description = Scratch wound (%): 26
!Sample_description = 
!Sample_description = See http://www.nhgri.nih.gov/DIR/Microarray/Nature_paper.pdf
!Sample_description = and http://www.nhgri.nih.gov/DIR/Microarray/Melanoma_Supplement/index.html
!Sample_platform_id = GPL7
!Sample_contact_name = Michael,,Bittner
!Sample_contact_email = mbittner@nhgri.nih.gov
!Sample_contact_phone = 301-496-7980
!Sample_contact_fax = 301-402-3241
!Sample_contact_department = Cancer Genetics Branch
!Sample_contact_institute = NHGRI, NIH
!Sample_contact_address =  
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_contact_web_link = http://www.nhgri.nih.gov/Intramural_research/People/bittnerm.html
!Sample_supplementary_file = NONE
!Sample_series_id = GSE1
!Sample_data_row_count = 8192
#ID_REF = 
#CH1_TARGET_TOP = Sample 1 (Red Channel) target location in image - top
#CH1_TARGET_LT = Sample 1 (Red Channel) target location in image - left
#CH1_TARGET_BOT = Sample 1 (Red Channel) target location in image - bottom
#CH1_TARGET_RT = Sample 1 (Red Channel) target location in image - right
#CH1_RAW = Sample 1 (Red Channel) Total Intensity
#CH1_MEAN = Sample 1 (Red Channel) Mean Intensity
#CH1_SD = Sample 1 (Red Channel) Standard Deviation
#CH1_AREA = Sample 1 (Red Channel) Area
#CH1_BKD_MEAN = Sample 1 (Red Channel) Mean Background Level
#CH1_BKD_SD = Sample 1 (Red Channel) Background Standard Deviation
#CH2_TARGET_TOP = Sample 2 (Green Channel) target location in image - top
#CH2_TARGET_LT = Sample 2 Green Channel) target location in image - left
#CH2_TARGET_BOT = Sample 2 Green Channel) target location in image - bottom
#CH2_TARGET_RT = Sample 2 Green Channel) target location in image - right
#CH2_RAW = Sample 2 Green Channel) Total Intensity
#CH1_MEAN = Sample 1 (Red Channel) Mean Intensity
#CH2_SD = Sample 2 Green Channel) Standard Deviation
#CH2_AREA = Sample 2 Green Channel) Area
#CH2_BKD_MEAN = Sample 2 Green Channel) Mean Background Level
#CH2_BKD_SD = Sample 2 Green Channel) Background Standard Deviation
#UNION_AREA = Union Area
#RATIO = Raw Ratio
#VALUE = log ratio of PRE_VALUE
#CONF_LEVEL = Confidence Level - fixed at 99%
#CONF_LOW = Confidence Interval - Lower Bound - Raw Ratio
#CONF_UP = Confidence Interval - Upper Bound - Raw Ratio
#NORM_FACTOR = M-value
#CV = Coefficient of variance
#PRE_VALUE = Calibrated Ratio
!sample_table_begin
ID_REF	CH1_TARGET_TOP	CH1_TARGET_LT	CH1_TARGET_BOT	CH1_TARGET_RT	CH1_RAW	CH1_MEAN	CH1_SD	CH1_AREA	CH1_BKD_MEAN	CH1_BKD_SD	CH2_TARGET_TOP	CH2_TARGET_LT	CH2_TARGET_BOT	CH2_TARGET_RT	CH2_RAW	CH1_MEAN	CH2_SD	CH2_AREA	CH2_BKD_MEAN	CH2_BKD_SD	UNION_AREA	RATIO	VALUE	CONF_LEVEL	CONF_LOW	CONF_UP	NORM_FACTOR	CV	PRE_VALUE
20	759	731	777	749	335489	1644.3	1148.3	33	3680.9	352.5	759	731	777	749	455887	3054.5	1804.6	71	4181.8	245.9	71	0.538	-0.1029233	99.000	0.318	1.462	0.682	0.188	0.789
21	197	732	215	750	504088	2816.9	1810.0	63	3484.2	363.2	197	732	215	750	728514	5533.6	2509.0	88	3572.9	257.5	88	0.509	-0.1266793	99.000	0.318	1.462	0.682	0.188	0.747
22	795	730	813	748	320577	2487.0	1190.4	50	3678.0	323.0	795	730	813	748	386740	3109.8	1533.0	60	4327.5	262.2	60	0.800	0.0692983	99.000	0.318	1.462	0.682	0.188	1.173
23	234	731	252	749	2686871	26275.2	23540.5	64	3578.9	414.4	234	731	252	749	3176662	31670.8	24787.3	98	3625.5	264.2	98	0.830	0.0852913	99.000	0.318	1.462	0.682	0.188	1.217
24	832	730	850	748	545894	4083.0	2325.6	74	3715.5	356.2	832	730	850	748	653096	5007.0	2990.5	76	4322.9	256.8	78	0.815	0.0777313	99.000	0.318	1.462	0.682	0.188	1.196
25	46	1335	64	1353	178805	2007.2	1044.2	0	3760.7	523.3	46	1335	64	1353	235752	3215.6	1274.0	39	4389.3	364.2	39	0.624	-0.0385793	99.000	0.318	1.462	0.682	0.188	0.915
26	662	1335	680	1353	459798	6546.7	5164.9	40	3032.4	674.3	662	1335	680	1353	530781	7466.8	3324.0	54	3591.1	296.4	56	0.877	0.1092413	99.000	0.318	1.462	0.682	0.188	1.286
27	82	1335	100	1353	697289	8211.2	4565.4	64	3811.0	497.3	82	1335	100	1353	1599402	23110.9	12696.5	57	4465.0	351.4	66	0.355	-0.2831623	99.000	0.318	1.462	0.682	0.188	0.521
28	698	1335	716	1353	1503379	19353.4	11043.5	65	3775.5	394.5	698	1335	716	1353	2998604	42177.0	16413.1	73	3955.4	287.9	73	0.459	-0.1719853	99.000	0.318	1.462	0.682	0.188	0.673
29	119	1335	137	1353	216886	1603.0	868.4	0	3686.9	560.8	119	1335	137	1353	309632	3301.4	1536.2	49	4250.6	393.5	49	0.486	-0.1475203	99.000	0.318	1.462	0.682	0.188	0.712
30	735	1335	753	1353	398100	2558.7	1262.7	60	3760.4	349.5	735	1335	753	1353	573405	5091.1	2835.8	69	4010.6	272.2	71	0.503	-0.1325333	99.000	0.318	1.462	0.682	0.188	0.737
31	155	1335	173	1353	3042162	31158.0	21625.0	77	3809.4	457.1	155	1335	173	1353	4240848	44459.1	21957.6	95	4286.3	343.1	95	0.701	0.0119933	99.000	0.318	1.462	0.682	0.188	1.028
32	771	1335	789	1353	403039	9689.7	5025.4	34	3744.9	585.7	771	1335	789	1353	453482	11063.1	5942.9	37	4053.0	277.7	38	0.876	0.1085653	99.000	0.318	1.462	0.682	0.188	1.284
33	191	1335	209	1353	1915181	25754.8	15486.7	70	3709.6	436.1	191	1335	209	1353	2652675	36697.8	18359.0	69	4112.6	330.7	73	0.702	0.0124153	99.000	0.318	1.462	0.682	0.188	1.029
34	807	1335	825	1353	887682	11289.1	5202.7	66	3756.4	309.6	807	1335	825	1353	1294933	17691.5	8801.4	64	4256.5	295.8	67	0.638	-0.0287243	99.000	0.318	1.462	0.682	0.188	0.936
35	228	1335	246	1353	548912	6248.1	2295.1	64	3553.9	411.3	228	1335	246	1353	803159	10469.7	4113.8	60	3872.4	266.1	64	0.597	-0.0579923	99.000	0.318	1.462	0.682	0.188	0.875
36	844	1335	862	1353	1	1.0	0.0	0	3823.1	372.4	844	1335	862	1353	1	1.0	0.0	0	4250.8	252.9	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
37	40	1965	58	1983	705899	7284.4	2943.5	75	2946.0	298.5	40	1965	58	1983	527635	4719.4	1892.4	75	2927.5	212.5	77	1.543	0.3548763	99.000	0.318	1.462	0.682	0.188	2.264
38	665	1957	683	1975	1284595	10727.0	6422.0	97	3546.3	329.3	665	1957	683	1975	1384145	11853.8	7541.2	88	3525.6	271.0	98	0.905	0.1228713	99.000	0.318	1.462	0.682	0.188	1.327
39	76	1965	94	1983	226626	1717.2	491.9	54	2907.8	300.7	76	1965	94	1983	194583	1084.2	488.4	36	2886.9	232.5	57	1.584	0.3660493	99.000	0.318	1.462	0.682	0.188	2.323
40	701	1957	719	1975	140102	1173.6	1028.1	0	3496.5	338.2	701	1957	719	1975	179766	2524.4	1849.6	38	3467.8	228.9	38	0.465	-0.1662163	99.000	0.318	1.462	0.682	0.188	0.682
41	113	1965	131	1983	516096	4437.5	2296.4	72	3042.2	372.1	113	1965	131	1983	588592	5542.3	2632.4	75	2988.1	269.9	77	0.801	0.0696683	99.000	0.318	1.462	0.682	0.188	1.174
42	738	1957	756	1975	939444	8217.4	4163.8	86	3674.3	396.9	738	1957	756	1975	1092437	10176.1	6187.1	76	3652.3	244.6	87	0.808	0.0733523	99.000	0.318	1.462	0.682	0.188	1.184
43	149	1965	167	1983	572276	5971.1	2099.6	70	2970.7	344.3	149	1965	167	1983	285469	1557.6	868.0	62	2902.8	214.6	72	3.833	0.7498913	99.000	0.318	1.462	0.682	0.188	5.622
44	774	1956	792	1974	384923	2244.3	1277.2	49	3677.6	372.3	774	1956	792	1974	473734	3622.3	1581.5	73	3665.9	255.4	73	0.620	-0.0414363	99.000	0.318	1.462	0.682	0.188	0.909
45	186	1965	204	1983	172671	1600.7	579.8	36	2943.3	305.7	186	1965	204	1983	173463	1594.6	641.5	37	2970.2	232.4	46	1.004	0.1679083	99.000	0.318	1.462	0.682	0.188	1.472
46	811	1956	829	1974	689273	5853.9	2577.2	75	3719.3	385.9	811	1956	829	1974	1094288	11442.4	4731.7	80	3756.1	260.0	80	0.512	-0.1249393	99.000	0.318	1.462	0.682	0.188	0.750
47	222	1966	240	1984	570860	3779.4	1635.3	85	3098.4	376.0	222	1966	240	1984	730938	5735.1	2590.0	84	3071.4	260.7	91	0.659	-0.0150233	99.000	0.318	1.462	0.682	0.188	0.966
48	847	1956	865	1974	1	1.0	0.0	0	3602.8	381.1	847	1956	865	1974	1	1.0	0.0	0	3791.1	267.3	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
49	62	114	80	132	2571423	23524.8	10691.1	101	3542.8	422.7	62	114	80	132	3414994	32202.9	14801.5	98	3744.4	337.7	103	0.731	0.0297893	99.000	0.318	1.462	0.682	0.188	1.071
50	679	124	697	142	417029	3554.1	2427.2	61	3514.2	336.1	679	124	697	142	393971	2416.2	1429.5	57	4261.3	259.9	67	1.471	0.3338503	99.000	0.318	1.462	0.682	0.188	2.157
51	99	114	117	132	498147	2190.9	1162.1	77	3344.0	336.4	99	114	117	132	634917	3498.3	1685.7	98	3556.3	234.9	98	0.626	-0.0371573	99.000	0.318	1.462	0.682	0.188	0.918
52	715	124	733	142	178027	2607.9	1296.7	0	3531.0	356.2	715	124	733	142	244229	4117.1	1913.5	37	4304.6	250.5	37	0.633	-0.0319843	99.000	0.318	1.462	0.682	0.188	0.929
53	135	114	153	132	551018	3306.5	2238.4	80	3413.2	347.3	135	114	153	132	634842	4112.6	2729.8	90	3629.4	249.4	90	0.804	0.0715143	99.000	0.318	1.462	0.682	0.188	1.179
54	752	124	770	142	297033	5498.4	3160.8	41	3502.6	344.7	752	124	770	142	223044	2401.0	734.3	39	4357.9	270.8	41	2.290	0.5260813	99.000	0.318	1.462	0.682	0.188	3.358
55	172	113	190	131	1142821	10355.3	5105.6	91	3413.7	330.5	172	113	190	131	1926849	19453.1	8937.9	89	3761.9	266.1	91	0.532	-0.1073493	99.000	0.318	1.462	0.682	0.188	0.781
56	788	123	806	141	439783	4584.2	2756.7	53	3411.9	316.9	788	123	806	141	671500	7760.0	5564.4	58	4449.0	279.4	63	0.591	-0.0624823	99.000	0.318	1.462	0.682	0.188	0.866
57	208	113	226	131	1475883	16159.6	8346.9	78	3518.8	387.3	208	113	226	131	2052014	23486.9	12388.0	82	3873.3	282.0	83	0.688	0.0038913	99.000	0.318	1.462	0.682	0.188	1.009
58	825	123	843	141	108349	1522.4	497.2	0	3402.6	362.7	825	123	843	141	139945	1940.6	455.8	30	4420.5	248.3	30	0.784	0.0606983	99.000	0.318	1.462	0.682	0.188	1.150
59	245	113	263	131	1716015	15560.8	9527.7	91	3506.0	376.8	245	113	263	131	2578624	24747.2	15280.3	98	3904.1	307.6	98	0.629	-0.0352693	99.000	0.318	1.462	0.682	0.188	0.922
60	861	123	879	141	199301	2765.8	2241.6	0	3273.7	304.9	861	123	879	141	286215	4191.0	3203.5	41	4482.2	276.8	41	0.660	-0.0141253	99.000	0.318	1.462	0.682	0.188	0.968
61	70	734	88	752	123742	2041.5	979.5	0	3338.5	369.9	70	734	88	752	135079	2527.9	1061.9	31	3345.1	253.9	31	0.808	0.0733523	99.000	0.318	1.462	0.682	0.188	1.184
62	667	731	685	749	309878	1793.6	1027.4	0	3549.1	643.4	667	731	685	749	436229	3490.2	1436.3	66	4031.0	326.1	66	0.514	-0.1226293	99.000	0.318	1.462	0.682	0.188	0.754
63	106	733	124	751	824528	5679.8	2053.0	95	3282.4	310.9	106	733	124	751	2121360	19601.5	6721.8	98	3456.7	301.6	100	0.290	-0.3716113	99.000	0.318	1.462	0.682	0.188	0.425
64	704	731	722	749	415551	3130.1	2468.5	48	3682.2	381.2	704	731	722	749	602907	5839.6	4286.2	69	4044.1	239.6	69	0.536	-0.1045773	99.000	0.318	1.462	0.682	0.188	0.786
65	143	733	161	751	2518380	24821.3	11724.7	92	3475.1	380.8	143	733	161	751	3204634	32473.3	15613.1	97	3533.8	297.2	97	0.764	0.0496063	99.000	0.318	1.462	0.682	0.188	1.121
66	740	731	758	749	286190	2531.1	1805.7	31	3690.4	373.3	740	731	758	749	409749	4773.6	2753.3	54	4134.0	253.3	54	0.530	-0.1090203	99.000	0.318	1.462	0.682	0.188	0.778
67	179	732	197	750	2173091	18412.6	10029.1	93	3537.8	418.7	179	732	197	750	4802446	44859.9	16645.9	107	3649.7	315.0	107	0.410	-0.2204043	99.000	0.318	1.462	0.682	0.188	0.602
68	777	730	795	748	505872	4440.2	2357.0	69	3719.1	379.6	777	730	795	748	397374	2157.6	1327.4	62	4251.7	254.8	70	2.058	0.4797193	99.000	0.318	1.462	0.682	0.188	3.018
69	215	732	233	750	401091	1516.3	1070.2	36	3497.3	355.6	215	732	233	750	524405	2934.4	1403.9	88	3620.6	288.1	88	0.517	-0.1203313	99.000	0.318	1.462	0.682	0.188	0.758
70	814	730	832	748	2388840	30382.5	17071.6	78	3743.8	360.4	814	730	832	748	591962	4113.2	3153.6	65	4343.4	267.6	78	7.387	1.0347093	99.000	0.318	1.462	0.682	0.188	10.832
71	252	731	270	749	557528	3817.3	2649.6	76	3423.3	320.6	252	731	270	749	634960	4670.3	2910.5	81	3576.0	231.8	85	0.817	0.0788193	99.000	0.318	1.462	0.682	0.188	1.199
72	850	730	868	748	350117	2346.0	1825.5	49	3690.5	383.4	850	730	868	748	489335	4111.7	3226.4	66	4325.1	246.8	66	0.571	-0.0772753	99.000	0.318	1.462	0.682	0.188	0.837
73	64	1335	82	1353	1399142	18073.9	9771.9	66	3787.7	455.9	64	1335	82	1353	2286094	31184.4	17418.2	64	4535.9	394.5	72	0.580	-0.0705813	99.000	0.318	1.462	0.682	0.188	0.850
74	680	1335	698	1353	547638	6239.8	2374.2	67	3042.2	595.5	680	1335	698	1353	928230	12012.8	4893.2	64	3720.0	308.7	67	0.519	-0.1180453	99.000	0.318	1.462	0.682	0.188	0.762
75	100	1335	118	1353	592864	5481.7	2413.0	65	3781.8	544.9	100	1335	118	1353	913050	9974.0	4271.0	69	4292.4	329.5	72	0.550	-0.0936653	99.000	0.318	1.462	0.682	0.188	0.806
76	716	1335	734	1353	2191523	24238.1	16614.9	69	3858.4	407.7	716	1335	734	1353	3079593	35436.7	20614.5	86	4045.3	327.2	86	0.684	0.0013013	99.000	0.318	1.462	0.682	0.188	1.003
77	137	1335	155	1353	1	1.0	0.0	0	3680.9	524.6	137	1335	155	1353	1	1.0	0.0	0	4225.9	386.5	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
78	753	1335	771	1353	920501	10613.9	6937.3	64	3768.9	348.3	753	1335	771	1353	1157286	14026.5	8380.6	72	4056.1	270.6	72	0.757	0.0453233	99.000	0.318	1.462	0.682	0.188	1.110
79	173	1335	191	1353	2295992	23240.4	15867.7	74	3771.3	453.9	173	1335	191	1353	3518744	37179.8	23174.8	93	4217.2	336.8	93	0.625	-0.0376313	99.000	0.318	1.462	0.682	0.188	0.917
80	789	1335	807	1353	221421	1243.0	1089.1	0	3789.3	392.1	789	1335	807	1353	294954	2553.5	1411.3	52	4150.0	272.8	52	0.487	-0.1463023	99.000	0.318	1.462	0.682	0.188	0.714
81	209	1335	227	1353	3242814	40694.7	20348.0	79	3727.4	492.3	209	1335	227	1353	3250723	40536.3	21086.1	77	3994.2	300.4	81	1.004	0.1679083	99.000	0.318	1.462	0.682	0.188	1.472
82	826	1335	844	1353	363300	2503.6	1210.4	55	3760.2	303.7	826	1335	844	1353	462283	3735.9	1842.2	66	4234.5	258.4	66	0.670	-0.0074463	99.000	0.318	1.462	0.682	0.188	0.983
83	246	1335	264	1353	718424	8636.7	5513.0	65	3540.0	451.4	246	1335	264	1353	1216549	16802.4	11312.0	58	3817.1	292.2	67	0.514	-0.1226293	99.000	0.318	1.462	0.682	0.188	0.754
84	862	1335	880	1353	1	1.0	0.0	0	3884.0	417.9	862	1335	880	1353	1	1.0	0.0	0	4256.1	244.6	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
85	58	1965	76	1983	1158378	16897.6	13496.8	62	3074.5	373.5	58	1965	76	1983	560883	6673.5	5729.2	65	2996.9	254.7	66	2.532	0.5697253	99.000	0.318	1.462	0.682	0.188	3.713
86	683	1957	701	1975	605708	4449.7	2071.4	81	3520.1	344.9	683	1957	701	1975	668269	5293.8	2788.6	72	3499.3	243.5	84	0.841	0.0909633	99.000	0.318	1.462	0.682	0.188	1.233
87	95	1965	113	1983	3209800	37074.7	15553.8	88	3047.8	375.4	95	1965	113	1983	1622179	17283.9	7532.8	79	2993.4	274.7	88	2.145	0.4977593	99.000	0.318	1.462	0.682	0.188	3.146
88	720	1957	738	1975	835731	12200.4	8598.2	57	3568.1	345.6	720	1957	738	1975	505804	5982.4	4521.5	49	3561.1	245.6	61	2.039	0.4758163	99.000	0.318	1.462	0.682	0.188	2.991
89	131	1965	149	1983	1	1.0	0.0	0	2995.4	359.6	131	1965	149	1983	1	1.0	0.0	0	2891.2	216.3	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
90	756	1956	774	1974	1	1.0	0.0	0	3682.3	410.6	756	1956	774	1974	1	1.0	0.0	0	3630.9	252.2	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
91	167	1965	185	1983	1	1.0	0.0	0	2985.4	341.2	167	1965	185	1983	1	1.0	0.0	0	2989.4	256.4	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
92	792	1956	810	1974	1	1.0	0.0	0	3735.0	410.6	792	1956	810	1974	1	1.0	0.0	0	3720.1	250.1	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
93	204	1966	222	1984	1	1.0	0.0	0	3080.0	367.5	204	1966	222	1984	1	1.0	0.0	0	2992.3	226.0	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
94	829	1956	847	1974	1	1.0	0.0	0	3694.2	425.0	829	1956	847	1974	1	1.0	0.0	0	3772.7	272.8	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
95	240	1966	258	1984	104130	1429.1	1019.1	0	3098.3	358.4	240	1966	258	1984	133069	2641.9	1207.8	31	3143.7	296.5	31	0.541	-0.1007273	99.000	0.318	1.462	0.682	0.188	0.793
96	865	1956	883	1974	1	1.0	0.0	0	3666.3	396.0	865	1956	883	1974	1	1.0	0.0	0	3832.6	263.1	0	1.000	0.1661343	99.000	0.318	1.462	0.682	0.188	1.466
